Symbol,Stock Exchange,Description,Resource,% Portfolio Weight,Shares Held,Market Value,Twitter,,,
AAL,NASDAQ,American Airlines Group Inc,American Airlines Group,0.22%,4.8K,$213.7K,@AmericanAir,,,
VIAB,NASDAQ,Viacom Inc Class B,Viacom Class B,0.22%,2.9K,$212.9K,@Viacom,,,
DE,NYSE,Deere & Co,Deere & Co,0.22%,2.5K,$211.9K,@JohnDeere,,,
EXC,NYSE,Exelon Corp,Exelon,0.21%,5.8K,$208.5K,@Exelon,,,
MMC,NYSE,Marsh & McLennan Companies Inc,Marsh & McLennan Companies,0.21%,3.7K,$206.8K,@MMA_pbs,@MMAUpperMidwest,@MMA_FL,@MMAnewengland
AET,NYSE,Aetna Inc,Aetna,0.21%,2.4K,$206.7K,@Aetna,,,
NOV,NYSE,National Oilwell Varco Inc,National Oilwell Varco,0.21%,2.9K,$206.6K,@NOVGlobal,,,
APD,NYSE,Air Products & Chemicals Inc,Air Products & Chemicals,0.21%,1.4K,$203.3K,@airproducts,,,
ECL,NYSE,Ecolab Inc,Ecolab,0.21%,1.8K,$203.0K,@Ecolab,,,
SYK,NYSE,Stryker Corporation,Stryker,0.21%,2.3K,$202.9K,@StrykerEndo,,,
DFS,NYSE,Discover Financial Services,Discover Financial Services,0.21%,3.1K,$202.1K,@DN_Global,,,
ALL,NYSE,Allstate Corp,Allstate,0.20%,2.9K,$197.1K,@Allstate,,,
FCX,NYSE,Freeport-McMoRan Inc,Freeport-McMoRan,0.20%,7.0K,$196.5K,@ExploreFMJobs,,,
PPG,NYSE,PPG Industries Inc,PPG Industries,0.20%,929,$195.7K,@PPGIndustries,,,
AEP,NYSE,American Electric Power Co Inc,American Electric Power Co,0.19%,3.3K,$188.3K,@AEPNews,,,
CBS,NYSE,CBS Corp Class B,CBS Class B,0.19%,3.5K,$188.3K,@CBS,@CBSNews,,
APA,NYSE,Apache Corporation,Apache Corporation,0.19%,2.6K,$187.3K,@ApacheCorp,,,
NOC,NYSE,Northrop Grumman Corp,Northrop Grumman,0.19%,1.4K,$187.2K,@NorthropGrumman,,,
BHI,NYSE,Baker Hughes Inc,Baker Hughes,0.19%,2.9K,$186.5K,@BHInc,,,
BBT,NYSE,BB&T Corp,BB&T,0.19%,4.8K,$182.0K,,,,
KMI,NYSE,"Kinder Morgan, Inc.",Kinder Morgan,0.19%,4.4K,$181.6K,@Kinder_Morgan,,,
AFL,NYSE,Aflac Inc,Aflac,0.18%,3.1K,$180.5K,@Aflac,,,
CME,NASDAQ,CME Group Inc Class A,CME Group Class A,0.18%,2.2K,$180.5K,@CMEGroup,,,
GLW,NYSE,Corning Inc,Corning,0.18%,8.8K,$180.4K,@Corning,,,
VLO,NYSE,Valero Energy Corp,Valero Energy,0.18%,3.6K,$179.5K,@ValeroEnergy_,,,
DVN,NYSE,Devon Energy Corp,Devon Energy,0.18%,2.8K,$178.7K,@DevonEnergy,,,
PSA,NYSE,Public Storage,Public Storage,0.18%,967,$177.9K,@PublicStorage,,,
CMI,NYSE,Cummins Inc,Cummins,0.18%,1.2K,$177.8K,@Cummins,,,
SE,NYSE,Spectra Energy Corp,Spectra Energy,0.18%,4.5K,$174.9K,@SpectraEnergy,,,
BDX,NYSE,Becton Dickinson & Co,Becton Dickinson & Co,0.17%,1.3K,$169.4K,,,,
CB,NYSE,Chubb Corp,Chubb,0.17%,1.6K,$168.5K,@ChubbInsurance,,,
EQR,NYSE,Equity Residential,Equity Residential,0.17%,2.4K,$168.2K,@EquityRes,,,
PXD,NYSE,Pioneer Natural Resources Co,Pioneer Natural Resources,0.17%,963,$162.6K,,,,
MPC,NYSE,Marathon Petroleum Corp,Marathon Petroleum,0.16%,1.7K,$159.7K,@MarathonPetroCo,,,
